"folio_recepcion","descripcion","fecha_publicacion"
"2023069191",NO IMAGENES CON API,2023-10-17 15:39:43.062
"2023069226",NO IMAGENES CON API,2023-10-17 15:39:43.975
"2023069260",NO IMAGENES CON API,2023-10-17 15:39:44.916
"2023069727",NO IMAGENES CON API,2023-10-17 15:40:02.262
"2023069907",NO IMAGENES CON API,2023-10-17 15:40:05.115
"2023075973",NO IMAGENES CON API,2023-10-17 15:41:30.424
"2023077400",NO IMAGENES CON API,2023-10-17 15:42:31.081
"2023077945",NO IMAGENES CON API,2023-10-17 15:43:06.610
"2023078044",NO IMAGENES CON API,2023-10-17 15:43:23.072
"2023078089",NO IMAGENES CON API,2023-10-17 15:43:24.019
"2023078244",NO IMAGENES CON API,2023-10-17 15:43:47.331
"2023078876",NO IMAGENES CON API,2023-10-17 15:44:49.869
"2023081571",NO IMAGENES CON API,2023-10-17 15:53:03.900
"2023082966",NO IMAGENES CON API,2023-10-17 15:55:56.299
"2023084085",NO IMAGENES CON API,2023-10-17 15:58:00.443
"2023084203",NO IMAGENES CON API,2023-10-17 15:58:04.301
"2023084460",NO IMAGENES CON API,2023-10-17 15:58:19.564
"2023084565",NO IMAGENES CON API,2023-10-17 15:58:54.083
"2023085487",NO IMAGENES CON API,2023-10-17 16:19:26.446
"2023086128",NO IMAGENES CON API,2023-10-17 16:21:57.110
"2023086281",NO IMAGENES CON API,2023-10-17 16:22:33.735
"2023086443",NO IMAGENES CON API,2023-10-17 16:23:03.665
"2023087288",NO IMAGENES CON API,2023-10-17 16:24:19.143
"2023087477",NO IMAGENES CON API,2023-10-17 16:24:36.955
"2023088057",NO IMAGENES CON API,2023-10-17 16:25:49.063
"2023088066",NO IMAGENES CON API,2023-10-17 16:25:50.084
"2023088153",NO IMAGENES CON API,2023-10-17 16:25:51.151
"2023088179",NO IMAGENES CON API,2023-10-17 16:25:52.109
"2023088210",NO IMAGENES CON API,2023-10-17 16:25:53.098
