"folio_recepcion","cantidad_items","cantidad_lm","cantidad_ls"
"2024362375",3,28,16
"2024350023",3,28,16
"2024360744",7,28,16
"2024357908",12,28,16
"2024350622",22,28,16
"2024353992",16,28,16
"2024361464",6,28,16
"2024365155",3,28,16
"2024353979",9,28,16
"2024354901",22,28,16
"2023478232",29,28,16
"2023460394",21,28,16
"2024359825",26,28,16
"2024353217",8,28,16
"2024363212",8,28,16
"2024354711",10,28,16
"2023464642",6,28,16
"2024352038",12,28,16
"2024352425",3,28,16
"2024363079",10,28,16
"2024352641",15,28,16
"2024353180",9,28,16
"2024356470",13,28,16
"2024357884",2,28,16
"2024359329",15,28,16
"2024351126",23,28,16
"2024364595",3,28,16
"2024353184",6,28,16
"2024364571",14,28,16
"2024358350",5,28,16
"2024363365",3,28,16
"2024364282",14,28,16
"2024363095",6,28,16
"2023470795",6,28,16
"2023455063",11,28,16
"2023470339",25,28,16
"2024360836",17,28,16
"2024366501",13,28,16
"2024351533",5,28,16
"2024372125",3,28,16
"2024364881",17,28,16
"2023478035",12,28,16
"2024357152",31,28,16
"2024353736",11,28,16
"2024364874",10,28,16
"2024363835",10,28,16
"2024356999",3,28,16
"2024362567",14,28,16
"2024364118",3,28,16
"2024351330",27,28,16
"2024350169",5,28,16
"2024353761",25,28,16
"2024358813",24,28,16
"2023477673",17,28,16
"2023476936",4,28,16
"2024361618",12,28,16
"2024352396",28,28,16
"2023460861",10,28,16
"2024352824",7,28,16
"2023460947",27,28,16
"2023478129",34,28,16
"2024357185",20,28,16
"2024365073",27,28,16
"2024356095",32,28,16
"2024351162",19,28,16
"2024363974",3,28,16
"2024361638",3,28,16
"2024366697",3,28,16
"2023459941",10,28,16
"2023478025",15,28,16
"2023476469",3,28,16
"2024372121",12,28,16
"2024351024",3,28,16
"2024357195",6,28,16
"2024352956",9,28,16
"2024364290",3,28,16
"2024151003",20,28,16
"2024356048",23,28,16
"2024360301",17,28,16
"2024364210",31,28,16
"2023459492",14,28,16
"2024363433",14,28,16
"2023460527",11,28,16
"2023470225",17,28,16
"2024358545",16,28,16
"2024365853",6,28,16
"2024361630",6,28,16
"2024352113",14,28,16
"2023464891",3,28,16
"2024351847",4,28,16
"2024364712",3,28,16
"2024365085",15,28,16
"2024350994",3,28,16
"2024363668",33,28,16
"2023476748",35,28,16
"2024354224",3,28,16
"2024357447",9,28,16
"2024350164",4,28,16
"2024363028",9,28,16
"2024360306",16,28,16
"2024360940",3,28,16
"2023459734",35,28,16
"2024350371",18,28,16
"2024353991",10,28,16
"2023470290",40,28,16
"2023455937",13,28,16
"2024361210",7,28,16
"2023478018",3,28,16
"2023475973",16,28,16
"2024357196",7,28,16
"2024353919",6,28,16
"2024356670",3,28,16
"2024351547",23,28,16
"2024361433",23,28,16
"2023478258",14,28,16
"2024350580",3,28,16
"2024360363",17,28,16
"2024352068",29,28,16
"2023470947",7,28,16
"2023475558",22,28,16
"2024364879",3,28,16
"2024356485",1,28,16
"2024354306",19,28,16
"2024351677",7,28,16
"2024350591",16,28,16
"2024352356",3,28,16
"2024352087",11,28,16
"2024356862",10,28,16
"2024359796",6,28,16
"2024360927",19,28,16
"2024350206",12,28,16
"2023478190",3,28,16
"2024350284",12,28,16
"2024352854",7,28,16
"2024033002",4,28,16
"2023477096",13,28,16
"2024361329",14,28,16
"2023455399",17,28,16
"2023459061",12,28,16
