"descripcion","fecha","cuenta"
FALTA COTIZ. SALUD,2024-04-10,21
RENTA = TOPE,2024-04-10,1
COTIZ < LIQ DE SUELDO,2024-04-10,19
NO HAY IMAGENES PARA DESCARGAR,2024-04-10,8
NO PROCESADO MEDIPASS,2024-04-10,130
NO IMAGENES CON API,2024-04-10,144
NO PROCESADO MEDIPASS,2024-04-09,94
COTIZ < LIQ DE SUELDO,2024-04-09,44
NO IMAGENES CON API,2024-04-09,2
RENTA = TOPE,2024-04-09,6
FALTA COTIZ. SALUD,2024-04-09,27
NO HAY IMAGENES PARA DESCARGAR,2024-04-09,8
NO PROCESADO MEDIPASS,2024-04-08,170
NO IMAGENES CON API,2024-04-08,67
FALTA COTIZ. SALUD,2024-04-08,40
COTIZ < LIQ DE SUELDO,2024-04-08,54
RENTA = TOPE,2024-04-08,4
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-04-08,2
NO HAY IMAGENES PARA DESCARGAR,2024-04-08,13
NO PROCESADO MEDIPASS,2024-04-07,2
FALTA COTIZ. SALUD,2024-04-06,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-04-05,2
FALTA COTIZ. SALUD,2024-04-05,30
RENTA = TOPE,2024-04-05,6
NO PROCESADO MEDIPASS,2024-04-05,101
NO HAY IMAGENES PARA DESCARGAR,2024-04-05,6
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-04-05,1
COTIZ < LIQ DE SUELDO,2024-04-05,39
NO SE ENCUENTRA CODIGO AFP,2024-04-05,1
NO PROCESADO MEDIPASS,2024-04-04,134
NO IMAGENES CON API,2024-04-04,3
FALTA COTIZ. SALUD,2024-04-04,53
NO HAY IMAGENES PARA DESCARGAR,2024-04-04,14
RENTA = TOPE,2024-04-04,9
COTIZ < LIQ DE SUELDO,2024-04-04,77
RENTA = TOPE,2024-04-03,8
COTIZ < LIQ DE SUELDO,2024-04-03,60
FALTA COTIZ. SALUD,2024-04-03,20
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-04-03,1
NO PROCESADO MEDIPASS,2024-04-03,78
NO HAY IMAGENES PARA DESCARGAR,2024-04-03,9
NO IMAGENES CON API,2024-04-03,202
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-04-02,1
NO HAY IMAGENES PARA DESCARGAR,2024-04-02,18
COTIZ < LIQ DE SUELDO,2024-04-02,66
FALTA COTIZ. SALUD,2024-04-02,28
RENTA = TOPE,2024-04-02,8
NO PROCESADO MEDIPASS,2024-04-02,140
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-04-01,1
COTIZ < LIQ DE SUELDO,2024-04-01,126
NO IMAGENES CON API,2024-04-01,138
RENTA = TOPE,2024-04-01,14
NO HAY IMAGENES PARA DESCARGAR,2024-04-01,16
FALTA COTIZ. SALUD,2024-04-01,30
NO PROCESADO MEDIPASS,2024-04-01,204
NO PROCESADO MEDIPASS,2024-03-31,4
FALTA COTIZ. SALUD,2024-03-28,5
COTIZ < LIQ DE SUELDO,2024-03-28,25
NO PROCESADO MEDIPASS,2024-03-28,44
RENTA = TOPE,2024-03-28,1
NO HAY IMAGENES PARA DESCARGAR,2024-03-28,3
RENTA = TOPE,2024-03-27,8
NO HAY IMAGENES PARA DESCARGAR,2024-03-27,3
FALTA COTIZ. SALUD,2024-03-27,21
NO SE ENCUENTRA CODIGO AFP,2024-03-27,1
NO DERECHO A PAGO SUBSIDIO,2024-03-27,1
NO PROCESADO MEDIPASS,2024-03-27,122
COTIZ < LIQ DE SUELDO,2024-03-27,67
NO IMAGENES CON API,2024-03-27,2
NO HAY IMAGENES PARA DESCARGAR,2024-03-26,13
NO PROCESADO MEDIPASS,2024-03-26,113
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-03-26,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-03-26,1
COTIZ < LIQ DE SUELDO,2024-03-26,98
FALTA COTIZ. SALUD,2024-03-26,8
RENTA = TOPE,2024-03-26,5
NO IMAGENES CON API,2024-03-26,3
NO SE ENCUENTRA CODIGO AFP,2024-03-25,1
FALTA COTIZ. SALUD,2024-03-25,16
NO IMAGENES CON API,2024-03-25,78
RENTA = TOPE,2024-03-25,17
NO PROCESADO MEDIPASS,2024-03-25,149
NO HAY IMAGENES PARA DESCARGAR,2024-03-25,16
COTIZ < LIQ DE SUELDO,2024-03-25,80
COTIZ < LIQ DE SUELDO,2024-03-24,2
NO PROCESADO MEDIPASS,2024-03-23,7
RENTA = TOPE,2024-03-23,1
COTIZ < LIQ DE SUELDO,2024-03-23,1
NO PROCESADO MEDIPASS,2024-03-22,123
NO SE ENCUENTRA CODIGO AFP,2024-03-22,2
RENTA = TOPE,2024-03-22,7
COTIZ < LIQ DE SUELDO,2024-03-22,89
FALTA COTIZ. SALUD,2024-03-22,9
NO HAY IMAGENES PARA DESCARGAR,2024-03-22,3
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-03-21,1
NO PROCESADO MEDIPASS,2024-03-21,104
NO IMAGENES CON API,2024-03-21,187
FALTA COTIZ. SALUD,2024-03-21,22
COTIZ < LIQ DE SUELDO,2024-03-21,57
NO HAY IMAGENES PARA DESCARGAR,2024-03-21,5
RENTA = TOPE,2024-03-21,5
RENTA = TOPE,2024-03-20,12
NO DERECHO A PAGO SUBSIDIO,2024-03-20,1
FALTA COTIZ. SALUD,2024-03-20,21
NO IMAGENES CON API,2024-03-20,21
NO PROCESADO MEDIPASS,2024-03-20,154
COTIZ < LIQ DE SUELDO,2024-03-20,105
NO HAY IMAGENES PARA DESCARGAR,2024-03-20,11
NO SE ENCUENTRA CODIGO AFP,2024-03-20,2
NO HAY IMAGENES PARA DESCARGAR,2024-03-19,9
FALTA COTIZ. SALUD,2024-03-19,11
NO IMAGENES CON API,2024-03-19,7
NO PROCESADO MEDIPASS,2024-03-19,136
COTIZ < LIQ DE SUELDO,2024-03-19,86
RENTA = TOPE,2024-03-19,9
RENTA = TOPE,2024-03-18,7
NO HAY IMAGENES PARA DESCARGAR,2024-03-18,7
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-03-18,1
COTIZ < LIQ DE SUELDO,2024-03-18,85
FALTA COTIZ. SALUD,2024-03-18,25
NO IMAGENES CON API,2024-03-18,41
NO PROCESADO MEDIPASS,2024-03-18,106
NO IMAGENES CON API,2024-03-17,7
NO HAY IMAGENES PARA DESCARGAR,2024-03-17,1
FALTA COTIZ. SALUD,2024-03-17,1
COTIZ < LIQ DE SUELDO,2024-03-17,1
NO PROCESADO MEDIPASS,2024-03-17,8
COTIZ < LIQ DE SUELDO,2024-03-15,68
NO PROCESADO MEDIPASS,2024-03-15,98
NO IMAGENES CON API,2024-03-15,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-03-15,2
NO HAY IMAGENES PARA DESCARGAR,2024-03-15,4
FALTA COTIZ. SALUD,2024-03-15,15
NO DERECHO A PAGO SUBSIDIO,2024-03-15,1
RENTA = TOPE,2024-03-15,7
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-03-14,1
FALTA COTIZ. SALUD,2024-03-14,15
NO HAY IMAGENES PARA DESCARGAR,2024-03-14,5
COTIZ < LIQ DE SUELDO,2024-03-14,104
RENTA = TOPE,2024-03-14,7
NO PROCESADO MEDIPASS,2024-03-14,124
NO IMAGENES CON API,2024-03-14,1
NO PROCESADO MEDIPASS,2024-03-13,115
NO HAY IMAGENES PARA DESCARGAR,2024-03-13,6
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-03-13,1
COTIZ < LIQ DE SUELDO,2024-03-13,74
RENTA = TOPE,2024-03-13,16
NO IMAGENES CON API,2024-03-13,3
FALTA COTIZ. SALUD,2024-03-13,43
NO HAY IMAGENES PARA DESCARGAR,2024-03-12,9
FALTA COTIZ. SALUD,2024-03-12,61
COTIZ < LIQ DE SUELDO,2024-03-12,110
RENTA = TOPE,2024-03-12,13
NO PROCESADO MEDIPASS,2024-03-12,110
COTIZ < LIQ DE SUELDO,2024-03-11,71
