"folio_recepcion","descripcion","fecha_publicacion"
"2023278659",FALTA COTIZ. SALUD,2023-11-13 23:31:56.394
"2023278659",COTIZ < LIQ DE SUELDO,2023-11-13 23:31:56.394
"2023278381",FALTA COTIZ. SALUD,2023-11-13 23:31:33.175
"2023278381",COTIZ < LIQ DE SUELDO,2023-11-13 23:31:33.175
"2023278327",COTIZ < LIQ DE SUELDO,2023-11-13 23:31:13.618
"2023278234",FALTA COTIZ. SALUD,2023-11-13 23:30:27.648
"2023278232",COTIZ < LIQ DE SUELDO,2023-11-13 23:30:21.482
"2023278056",COTIZ < LIQ DE SUELDO,2023-11-13 23:29:25.179
"2023278027",COTIZ < LIQ DE SUELDO,2023-11-13 23:29:06.238
"2023278027",FALTA COTIZ. SALUD,2023-11-13 23:29:06.238
"2023277903",FALTA COTIZ. SALUD,2023-11-13 23:28:45.561
"2023277903",COTIZ < LIQ DE SUELDO,2023-11-13 23:28:45.561
"2023277857",RENTA = TOPE,2023-11-13 23:28:39.307
"2023277841",COTIZ < LIQ DE SUELDO,2023-11-13 23:28:32.235
"2023277542",COTIZ < LIQ DE SUELDO,2023-11-13 23:27:26.544
"2023277072",COTIZ < LIQ DE SUELDO,2023-11-13 23:26:48.832
"2023277072",FALTA COTIZ. SALUD,2023-11-13 23:26:48.832
"2023275723",FALTA COTIZ. SALUD,2023-11-13 23:26:14.312
"2023269998",FALTA COTIZ. SALUD,2023-11-13 23:23:25.191
"2023269821",RENTA = TOPE,2023-11-13 23:23:00.176
"2023269802",COTIZ < LIQ DE SUELDO,2023-11-13 23:22:53.332
"2023260145",COTIZ < LIQ DE SUELDO,2023-11-13 23:19:40.568
"2023260087",FALTA COTIZ. SALUD,2023-11-13 23:19:07.720
"2023260087",COTIZ < LIQ DE SUELDO,2023-11-13 23:19:07.720
"2023260060",RENTA = TOPE,2023-11-13 23:19:00.312
"2023278005",COTIZ < LIQ DE SUELDO,2023-11-13 22:26:08.404
"2023277994",COTIZ < LIQ DE SUELDO,2023-11-13 22:25:53.555
"2023276027",COTIZ < LIQ DE SUELDO,2023-11-13 22:25:30.567
"2023275663",NO PROCESADO MEDIPASS,2023-11-13 22:25:09.079
"2023275448",FALTA COTIZ. SALUD,2023-11-13 22:24:21.093
"2023275448",COTIZ < LIQ DE SUELDO,2023-11-13 22:24:21.093
"2023275426",NO PROCESADO MEDIPASS,2023-11-13 22:24:16.302
"2023275173",COTIZ < LIQ DE SUELDO,2023-11-13 22:23:46.047
"2023274816",NO PROCESADO MEDIPASS,2023-11-13 22:22:23.674
"2023274800",COTIZ < LIQ DE SUELDO,2023-11-13 22:22:22.381
"2023274771",NO HAY IMAGENES PARA DESCARGAR,2023-11-13 22:22:09.533
"2023274639",NO PROCESADO MEDIPASS,2023-11-13 22:21:47.287
"2023274122",NO PROCESADO MEDIPASS,2023-11-13 22:20:09.161
"2023274072",COTIZ < LIQ DE SUELDO,2023-11-13 22:20:01.106
"2023269865",COTIZ < LIQ DE SUELDO,2023-11-13 22:19:47.246
"2023260967",NO PROCESADO MEDIPASS,2023-11-13 22:18:59.331
"2023260751",NO HAY IMAGENES PARA DESCARGAR,2023-11-13 22:18:36.050
"2023260596",FALTA COTIZ. SALUD,2023-11-13 22:18:35.044
"2023260459",COTIZ < LIQ DE SUELDO,2023-11-13 22:18:22.869
"2023260082",FALTA COTIZ. SALUD,2023-11-13 22:17:53.995
"2023260082",COTIZ < LIQ DE SUELDO,2023-11-13 22:17:53.995
"2023260012",NO HAY IMAGENES PARA DESCARGAR,2023-11-13 22:17:41.707
"2023283533",NO PROCESADO MEDIPASS,2023-11-13 21:42:36.060
