"folio_recepcion","descripcion","fecha_publicacion"
"2023292347",NO PROCESADO MEDIPASS,2023-11-17 16:26:15.689
"2023291854",NO PROCESADO MEDIPASS,2023-11-17 16:26:14.707
"2023291744",NO PROCESADO MEDIPASS,2023-11-17 16:26:13.673
"2023291030",FALTA COTIZ. SALUD,2023-11-17 16:26:12.560
"2023290757",NO PROCESADO MEDIPASS,2023-11-17 16:26:01.097
"2023290611",NO PROCESADO MEDIPASS,2023-11-17 16:26:00.149
"2023290383",NO PROCESADO MEDIPASS,2023-11-17 16:25:52.037
"2023290199",NO PROCESADO MEDIPASS,2023-11-17 16:25:50.973
"2023290196",NO PROCESADO MEDIPASS,2023-11-17 16:25:49.955
"2023286884",COTIZ < LIQ DE SUELDO,2023-11-17 16:25:47.917
"2023286612",NO PROCESADO MEDIPASS,2023-11-17 16:25:35.426
"2023286592",NO PROCESADO MEDIPASS,2023-11-17 16:25:34.411
"2023286582",NO PROCESADO MEDIPASS,2023-11-17 16:25:33.467
"2023286543",NO IMAGENES CON API,2023-11-17 16:25:32.455
"2023286531",NO PROCESADO MEDIPASS,2023-11-17 16:25:31.402
"2023286006",NO PROCESADO MEDIPASS,2023-11-17 16:25:16.598
"2023285977",COTIZ < LIQ DE SUELDO,2023-11-17 16:25:15.578
"2023285908",COTIZ < LIQ DE SUELDO,2023-11-17 16:24:29.288
"2023285785",COTIZ < LIQ DE SUELDO,2023-11-17 16:23:57.363
"2023285767",COTIZ < LIQ DE SUELDO,2023-11-17 16:23:32.146
"2023285703",COTIZ < LIQ DE SUELDO,2023-11-17 16:22:40.673
"2023285691",COTIZ < LIQ DE SUELDO,2023-11-17 16:22:29.287
"2023285520",COTIZ < LIQ DE SUELDO,2023-11-17 16:21:19.957
"2023285520",RENTA = TOPE,2023-11-17 16:21:19.957
"2023285474",COTIZ < LIQ DE SUELDO,2023-11-17 16:20:39.297
"2023285466",COTIZ < LIQ DE SUELDO,2023-11-17 16:20:32.674
"2023285409",COTIZ < LIQ DE SUELDO,2023-11-17 16:20:14.796
"2023285395",NO HAY IMAGENES PARA DESCARGAR,2023-11-17 16:20:07.236
"2023285343",COTIZ < LIQ DE SUELDO,2023-11-17 16:19:49.990
"2023285192",COTIZ < LIQ DE SUELDO,2023-11-17 16:19:13.958
"2023285086",COTIZ < LIQ DE SUELDO,2023-11-17 16:18:25.148
"2023285086",RENTA = TOPE,2023-11-17 16:18:25.148
"2023283899",RENTA = TOPE,2023-11-17 16:18:14.577
"2023283601",COTIZ < LIQ DE SUELDO,2023-11-17 16:17:44.607
"2023283575",FALTA COTIZ. SALUD,2023-11-17 16:17:39.663
"2023173894",FALTA COTIZ. SALUD,2023-11-17 16:16:35.882
"2023291625",NO IMAGENES CON API,2023-11-17 15:18:42.757
"2023291618",NO IMAGENES CON API,2023-11-17 15:18:41.634
"2023290827",NO PROCESADO MEDIPASS,2023-11-17 15:18:40.618
"2023290384",NO PROCESADO MEDIPASS,2023-11-17 15:18:39.542
"2023290357",NO PROCESADO MEDIPASS,2023-11-17 15:18:38.401
"2023286615",NO PROCESADO MEDIPASS,2023-11-17 15:18:37.229
"2023286589",NO PROCESADO MEDIPASS,2023-11-17 15:18:36.206
"2023286545",NO PROCESADO MEDIPASS,2023-11-17 15:18:35.183
"2023286165",NO PROCESADO MEDIPASS,2023-11-17 15:18:34.228
"2023286014",NO PROCESADO MEDIPASS,2023-11-17 15:18:33.183
"2023285450",NO PROCESADO MEDIPASS,2023-11-17 15:18:22.234
"2023283934",NO IMAGENES CON API,2023-11-17 15:17:56.066
"2023283331",NO PROCESADO MEDIPASS,2023-11-17 15:17:19.953
"2023283148",NO PROCESADO MEDIPASS,2023-11-17 15:17:10.954
"2023278996",NO PROCESADO MEDIPASS,2023-11-17 15:16:49.070
"2023278992",NO PROCESADO MEDIPASS,2023-11-17 15:16:48.047
"2023291795",NO PROCESADO MEDIPASS,2023-11-17 14:20:17.373
"2023291260",FALTA COTIZ. SALUD,2023-11-17 14:20:16.386
"2023290822",NO PROCESADO MEDIPASS,2023-11-17 14:20:10.819
"2023290392",NO PROCESADO MEDIPASS,2023-11-17 14:20:09.773
"2023290380",NO PROCESADO MEDIPASS,2023-11-17 14:20:08.786
"2023286624",NO PROCESADO MEDIPASS,2023-11-17 14:20:07.800
"2023286586",NO PROCESADO MEDIPASS,2023-11-17 14:20:06.789
"2023286167",NO PROCESADO MEDIPASS,2023-11-17 14:19:52.156
"2023286030",NO PROCESADO MEDIPASS,2023-11-17 14:19:51.201
"2023285689",RENTA = TOPE,2023-11-17 14:19:50.155
"2023283819",NO PROCESADO MEDIPASS,2023-11-17 14:19:25.360
"2023283802",NO PROCESADO MEDIPASS,2023-11-17 14:19:24.374
"2023283526",NO PROCESADO MEDIPASS,2023-11-17 14:19:23.452
"2023283516",NO PROCESADO MEDIPASS,2023-11-17 14:19:22.466
"2023282272",NO HAY IMAGENES PARA DESCARGAR,2023-11-17 14:18:48.228
"2023278988",NO PROCESADO MEDIPASS,2023-11-17 14:18:47.225
"2023194243",FALTA COTIZ. SALUD,2023-11-17 14:18:45.921
"2023189328",FALTA COTIZ. SALUD,2023-11-17 14:18:28.411
"2023182208",FALTA COTIZ. SALUD,2023-11-17 14:18:17.655
"2023173916",FALTA COTIZ. SALUD,2023-11-17 14:18:11.199
"2023173910",FALTA COTIZ. SALUD,2023-11-17 14:18:04.621
"2023003653",FALTA COTIZ. SALUD,2023-11-17 14:17:57.812
"2023291868",NO PROCESADO MEDIPASS,2023-11-17 13:21:32.144
"2023291833",NO PROCESADO MEDIPASS,2023-11-17 13:21:31.066
"2023291753",NO PROCESADO MEDIPASS,2023-11-17 13:21:30.079
"2023291711",NO IMAGENES CON API,2023-11-17 13:21:29.077
"2023291675",NO IMAGENES CON API,2023-11-17 13:21:28.152
"2023291660",NO IMAGENES CON API,2023-11-17 13:21:27.129
"2023291621",NO IMAGENES CON API,2023-11-17 13:21:26.155
"2023291597",NO IMAGENES CON API,2023-11-17 13:21:25.126
"2023291591",NO IMAGENES CON API,2023-11-17 13:21:24.157
"2023291586",NO IMAGENES CON API,2023-11-17 13:21:23.060
"2023291576",NO IMAGENES CON API,2023-11-17 13:21:22.079
"2023291538",NO IMAGENES CON API,2023-11-17 13:21:21.100
"2023291535",NO IMAGENES CON API,2023-11-17 13:21:20.063
"2023291518",NO IMAGENES CON API,2023-11-17 13:21:19.015
"2023291505",NO IMAGENES CON API,2023-11-17 13:21:18.078
"2023291502",NO IMAGENES CON API,2023-11-17 13:21:17.141
"2023291494",NO IMAGENES CON API,2023-11-17 13:21:16.172
"2023291487",NO IMAGENES CON API,2023-11-17 13:21:15.071
"2023291464",NO IMAGENES CON API,2023-11-17 13:21:14.120
"2023291461",NO IMAGENES CON API,2023-11-17 13:21:13.056
