"folio_recepcion","descripcion","fecha_publicacion"
"2023276355",FALTA COTIZ. SALUD,2023-11-15 18:18:19.908
"2023259553",NO HAY IMAGENES PARA DESCARGAR,2023-11-09 16:18:52.071
"2023003543",FALTA COTIZ. SALUD,2023-11-16 16:17:59.654
"2023274930",COTIZ < LIQ DE SUELDO,2023-11-15 16:18:29.925
"2023282186",COTIZ < LIQ DE SUELDO,2023-11-16 11:30:46.768
"2023290167",NO PROCESADO MEDIPASS,2023-11-15 12:45:42.747
"2022119120",FALTA COTIZ. SALUD,2023-11-15 15:17:39.373
"2023275762",COTIZ < LIQ DE SUELDO,2023-11-15 12:31:00.106
"2023173828",FALTA COTIZ. SALUD,2023-11-13 04:17:47.213
"2023263249",NO HAY IMAGENES PARA DESCARGAR,2023-11-09 16:22:30.340
"2023173841",FALTA COTIZ. SALUD,2023-11-10 20:17:47.730
"2023266234",FALTA COTIZ. SALUD,2023-11-10 13:18:03.292
"2023269429",COTIZ < LIQ DE SUELDO,2023-11-10 13:19:20.718
"2023269429",FALTA COTIZ. SALUD,2023-11-10 13:19:20.718
"2023274513",FALTA COTIZ. SALUD,2023-11-09 19:20:05.719
"2023290177",NO PROCESADO MEDIPASS,2023-11-15 12:45:45.879
"2023260018",NO HAY IMAGENES PARA DESCARGAR,2023-11-13 17:16:51.158
"2023273610",RENTA = TOPE,2023-11-09 16:27:46.200
"2023273610",COTIZ < LIQ DE SUELDO,2023-11-09 16:27:46.200
"2023275579",COTIZ < LIQ DE SUELDO,2023-11-09 16:29:29.987
"2023189321",FALTA COTIZ. SALUD,2023-11-14 15:18:29.445
"2023263592",RENTA = TOPE,2023-11-09 13:30:49.365
"2023263592",COTIZ < LIQ DE SUELDO,2023-11-09 13:30:49.365
"2023274952",FALTA COTIZ. SALUD,2023-11-09 18:20:41.258
"2023274915",COTIZ < LIQ DE SUELDO,2023-11-09 21:27:42.279
"2023276541",FALTA COTIZ. SALUD,2023-11-10 17:20:33.063
"2023269635",FALTA COTIZ. SALUD,2023-11-13 21:24:05.987
"2023260072",COTIZ < LIQ DE SUELDO,2023-11-13 13:17:03.646
"2023260072",FALTA COTIZ. SALUD,2023-11-13 13:17:03.646
"2023260150",COTIZ < LIQ DE SUELDO,2023-11-13 17:17:11.114
"2023275761",COTIZ < LIQ DE SUELDO,2023-11-09 20:22:01.271
"2023276885",NO HAY IMAGENES PARA DESCARGAR,2023-11-10 17:22:39.783
"2023269636",COTIZ < LIQ DE SUELDO,2023-11-13 21:24:18.275
"2023003626",FALTA COTIZ. SALUD,2023-11-15 15:17:40.578
"2023277263",COTIZ < LIQ DE SUELDO,2023-11-10 17:24:47.657
"2023274012",RENTA = TOPE,2023-11-13 04:22:02.528
"2023274196",COTIZ < LIQ DE SUELDO,2023-11-13 04:22:55.097
"2023274196",FALTA COTIZ. SALUD,2023-11-13 04:22:55.097
"2023260324",RENTA = TOPE,2023-11-10 20:18:43.920
"2023269997",NO HAY IMAGENES PARA DESCARGAR,2023-11-13 15:22:49.840
"2023269377",NO HAY IMAGENES PARA DESCARGAR,2023-11-09 21:26:50.865
"2023274948",COTIZ < LIQ DE SUELDO,2023-11-13 04:23:42.919
"2023274948",FALTA COTIZ. SALUD,2023-11-13 04:23:42.919
"2023269702",COTIZ < LIQ DE SUELDO,2023-11-13 21:25:18.935
"2023269754",COTIZ < LIQ DE SUELDO,2023-11-13 13:18:07.403
"2023286353",COTIZ < LIQ DE SUELDO,2023-11-16 11:31:21.623
"2023286353",FALTA COTIZ. SALUD,2023-11-16 11:31:21.623
"2023266177",NO HAY IMAGENES PARA DESCARGAR,2023-11-10 20:19:53.137
"2023274010",COTIZ < LIQ DE SUELDO,2023-11-13 13:18:16.508
"2023274054",NO HAY IMAGENES PARA DESCARGAR,2023-11-13 13:18:17.593
"2023278355",FALTA COTIZ. SALUD,2023-11-14 15:22:19.254
"2023276663",NO HAY IMAGENES PARA DESCARGAR,2023-11-10 20:28:40.902
"2023277937",FALTA COTIZ. SALUD,2023-11-16 13:20:23.831
"2023276590",COTIZ < LIQ DE SUELDO,2023-11-10 20:27:48.091
"2023276868",COTIZ < LIQ DE SUELDO,2023-11-10 20:30:12.562
"2023276868",FALTA COTIZ. SALUD,2023-11-10 20:30:12.562
"2023269996",NO HAY IMAGENES PARA DESCARGAR,2023-11-13 21:26:41.756
"2023277363",FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-10 20:31:30.598
"2023260761",FALTA COTIZ. SALUD,2023-11-13 17:18:03.183
"2023273924",NO HAY IMAGENES PARA DESCARGAR,2023-11-13 21:26:42.729
"2023275958",COTIZ < LIQ DE SUELDO,2023-11-10 20:25:05.506
"2023275958",FALTA COTIZ. SALUD,2023-11-10 20:25:05.506
"2023269973",NO HAY IMAGENES PARA DESCARGAR,2023-11-13 17:19:03.660
"2023276824",COTIZ < LIQ DE SUELDO,2023-11-10 20:29:55.807
"2023266887",FALTA COTIZ. SALUD,2023-11-10 20:21:41.349
"2023269243",COTIZ < LIQ DE SUELDO,2023-11-10 20:22:39.859
"2023269243",FALTA COTIZ. SALUD,2023-11-10 20:22:39.859
"2023269556",FALTA COTIZ. SALUD,2023-11-10 20:23:13.208
"2023273927",NO HAY IMAGENES PARA DESCARGAR,2023-11-10 20:24:37.487
"2023274203",NO HAY IMAGENES PARA DESCARGAR,2023-11-10 20:24:38.654
"2023278904",COTIZ < LIQ DE SUELDO,2023-11-15 12:37:15.764
"2023275959",COTIZ < LIQ DE SUELDO,2023-11-10 20:25:14.055
"2023273988",RENTA = TOPE,2023-11-13 21:27:12.274
"2023276043",FALTA COTIZ. SALUD,2023-11-10 20:25:51.812
"2023276119",COTIZ < LIQ DE SUELDO,2023-11-10 20:26:25.086
"2023276119",FALTA COTIZ. SALUD,2023-11-10 20:26:25.086
"2023194242",FALTA COTIZ. SALUD,2023-11-15 20:19:00.190
"2023276476",FALTA COTIZ. SALUD,2023-11-10 20:27:18.812
"2023277848",COTIZ < LIQ DE SUELDO,2023-11-13 17:21:10.932
"2023276633",FALTA COTIZ. SALUD,2023-11-10 20:28:23.826
"2023276665",NO HAY IMAGENES PARA DESCARGAR,2023-11-10 20:28:41.939
"2023274302",COTIZ < LIQ DE SUELDO,2023-11-13 21:29:21.807
"2023274302",FALTA COTIZ. SALUD,2023-11-13 21:29:21.807
"2023274648",FALTA COTIZ. SALUD,2023-11-14 19:17:21.635
"2023274656",FALTA COTIZ. SALUD,2023-11-14 19:17:26.809
"2023278559",RENTA = TOPE,2023-11-13 17:21:51.499
"2023274668",NO HAY IMAGENES PARA DESCARGAR,2023-11-14 19:17:27.930
"2023286120",COTIZ < LIQ DE SUELDO,2023-11-14 17:21:08.257
"2023283985",COTIZ < LIQ DE SUELDO,2023-11-14 17:20:45.075
"2023196091",FALTA COTIZ. SALUD,2023-11-13 19:18:39.396
"2023283174",COTIZ < LIQ DE SUELDO,2023-11-14 17:18:03.286
"2023283292",COTIZ < LIQ DE SUELDO,2023-11-15 12:39:42.838
"2023194244",FALTA COTIZ. SALUD,2023-11-15 15:19:23.437
"2023278746",RENTA = TOPE,2023-11-13 19:33:59.764
"2023276826",COTIZ < LIQ DE SUELDO,2023-11-16 14:18:01.824
"2023276826",FALTA COTIZ. SALUD,2023-11-16 14:18:01.824
"2023275365",NO HAY IMAGENES PARA DESCARGAR,2023-11-14 19:19:44.943
"2023269858",RENTA = TOPE,2023-11-13 18:18:03.953
"2023277521",COTIZ < LIQ DE SUELDO,2023-11-13 18:18:18.934
"2023283489",FALTA COTIZ. SALUD,2023-11-15 12:40:51.831
"2023278575",COTIZ < LIQ DE SUELDO,2023-11-13 18:20:35.664
"2023283690",RENTA = TOPE,2023-11-15 12:41:29.065
"2023283690",COTIZ < LIQ DE SUELDO,2023-11-15 12:41:29.065
"2023283382",COTIZ < LIQ DE SUELDO,2023-11-14 18:20:00.241
"2023286494",COTIZ < LIQ DE SUELDO,2023-11-16 11:32:21.469
"2023283503",COTIZ < LIQ DE SUELDO,2023-11-14 18:20:33.409
"2023283433",COTIZ < LIQ DE SUELDO,2023-11-14 18:20:10.891
"2023286198",COTIZ < LIQ DE SUELDO,2023-11-15 12:44:21.314
"2023049221",FALTA COTIZ. SALUD,2023-11-15 15:17:41.678
"2023286356",COTIZ < LIQ DE SUELDO,2023-11-14 19:23:40.411
"2023277809",NO HAY IMAGENES PARA DESCARGAR,2023-11-16 14:18:10.559
"2023275852",FALTA COTIZ. SALUD,2023-11-14 19:21:42.822
"2023049223",FALTA COTIZ. SALUD,2023-11-15 15:17:52.320
"2023277214",COTIZ < LIQ DE SUELDO,2023-11-10 19:25:40.087
"2023275716",COTIZ < LIQ DE SUELDO,2023-11-14 19:21:11.398
"2023276790",COTIZ < LIQ DE SUELDO,2023-11-15 18:19:00.523
"2023275575",COTIZ < LIQ DE SUELDO,2023-11-09 17:22:15.529
"2023275575",FALTA COTIZ. SALUD,2023-11-09 17:22:15.529
"2023173865",FALTA COTIZ. SALUD,2023-11-15 15:18:58.779
"2023277023",COTIZ < LIQ DE SUELDO,2023-11-10 19:24:18.864
"2023277023",FALTA COTIZ. SALUD,2023-11-10 19:24:18.864
"2023276865",COTIZ < LIQ DE SUELDO,2023-11-10 19:23:37.108
"2023276068",COTIZ < LIQ DE SUELDO,2023-11-10 19:20:35.638
"2023276068",FALTA COTIZ. SALUD,2023-11-10 19:20:35.638
"2023274987",FALTA COTIZ. SALUD,2023-11-14 19:19:10.667
"2023275089",FALTA COTIZ. SALUD,2023-11-14 19:19:28.996
"2023275460",FALTA COTIZ. SALUD,2023-11-14 19:20:21.345
"2023274921",COTIZ < LIQ DE SUELDO,2023-11-14 19:18:49.069
"2023274937",NO HAY IMAGENES PARA DESCARGAR,2023-11-14 19:18:50.147
"2023286700",COTIZ < LIQ DE SUELDO,2023-11-16 11:33:39.161
"2023286700",FALTA COTIZ. SALUD,2023-11-16 11:33:39.161
"2023173867",FALTA COTIZ. SALUD,2023-11-15 15:19:11.874
"2023277353",FALTA COTIZ. SALUD,2023-11-15 18:19:42.262
"2023276672",COTIZ < LIQ DE SUELDO,2023-11-15 15:21:16.053
"2023276672",FALTA COTIZ. SALUD,2023-11-15 15:21:16.053
"2023277371",COTIZ < LIQ DE SUELDO,2023-11-15 18:19:48.289
"2023277388",COTIZ < LIQ DE SUELDO,2023-11-15 18:20:05.162
"2023277468",RENTA = TOPE,2023-11-15 15:24:32.090
"2023277468",COTIZ < LIQ DE SUELDO,2023-11-15 15:24:32.090
"2023286701",COTIZ < LIQ DE SUELDO,2023-11-15 15:25:08.508
"2023286951",FALTA COTIZ. SALUD,2023-11-15 15:26:40.929
"2023290340",COTIZ < LIQ DE SUELDO,2023-11-15 15:27:24.099
"2023277173",COTIZ < LIQ DE SUELDO,2023-11-15 15:23:09.328
"2023290029",COTIZ < LIQ DE SUELDO,2023-11-16 11:35:31.256
"2023278747",COTIZ < LIQ DE SUELDO,2023-11-15 18:21:45.131
"2023276421",COTIZ < LIQ DE SUELDO,2023-11-16 11:20:46.796
"2023290449",COTIZ < LIQ DE SUELDO,2023-11-15 17:29:04.365
"2023290091",RENTA = TOPE,2023-11-16 11:36:06.104
"2023286832",FALTA COTIZ. SALUD,2023-11-15 17:24:26.198
"2023278489",COTIZ < LIQ DE SUELDO,2023-11-16 16:21:26.616
"2023290702",COTIZ < LIQ DE SUELDO,2023-11-15 17:32:30.142
"2023278484",COTIZ < LIQ DE SUELDO,2023-11-16 18:18:20.914
"2023277675",COTIZ < LIQ DE SUELDO,2023-11-15 20:21:04.017
"2023278265",COTIZ < LIQ DE SUELDO,2023-11-16 11:29:18.391
"2023277706",COTIZ < LIQ DE SUELDO,2023-11-15 20:21:51.943
"2023278566",COTIZ < LIQ DE SUELDO,2023-11-16 16:22:35.397
"2023290158",COTIZ < LIQ DE SUELDO,2023-11-16 11:36:41.639
"2023290571",COTIZ < LIQ DE SUELDO,2023-11-15 16:28:33.805
"2023276848",COTIZ < LIQ DE SUELDO,2023-11-15 16:19:53.678
"2023269368",COTIZ < LIQ DE SUELDO,2023-11-10 13:19:16.271
"2023278163",COTIZ < LIQ DE SUELDO,2023-11-15 20:22:54.637
"2023290249",FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-15 16:26:57.063
"2023276777",NO HAY IMAGENES PARA DESCARGAR,2023-11-15 15:21:18.072
"2023290929",COTIZ < LIQ DE SUELDO,2023-11-16 11:41:14.035
"2023290155",COTIZ < LIQ DE SUELDO,2023-11-15 16:26:30.200
"2023290155",FALTA COTIZ. SALUD,2023-11-15 16:26:30.200
"2023290573",FALTA COTIZ. SALUD,2023-11-15 16:28:40.308
"2023291141",COTIZ < LIQ DE SUELDO,2023-11-16 11:41:22.669
"2023189324",FALTA COTIZ. SALUD,2023-11-16 11:17:40.590
"2023291339",COTIZ < LIQ DE SUELDO,2023-11-16 11:41:42.589
"2023282061",FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-16 16:24:10.541
"2023291130",COTIZ < LIQ DE SUELDO,2023-11-16 16:31:06.516
"2023049224",FALTA COTIZ. SALUD,2023-11-16 15:17:56.334
"2023290897",NO HAY IMAGENES PARA DESCARGAR,2023-11-16 16:27:15.311
"2023291281",COTIZ < LIQ DE SUELDO,2023-11-16 18:22:51.943
"2023282115",FALTA COTIZ. SALUD,2023-11-16 16:24:34.552
"2023283289",COTIZ < LIQ DE SUELDO,2023-11-16 18:19:56.217
"2023291160",COTIZ < LIQ DE SUELDO,2023-11-16 16:31:43.232
"2023282167",COTIZ < LIQ DE SUELDO,2023-11-16 16:25:50.221
"2023283051",COTIZ < LIQ DE SUELDO,2023-11-16 18:18:55.827
"2023283064",RENTA = TOPE,2023-11-16 18:19:04.090
"2023283064",COTIZ < LIQ DE SUELDO,2023-11-16 18:19:04.090
"2023283180",FALTA COTIZ. SALUD,2023-11-16 18:19:29.616
"2023285389",COTIZ < LIQ DE SUELDO,2023-11-16 18:21:05.903
"2023283723",RENTA = TOPE,2023-11-16 18:20:46.155
"2023291098",COTIZ < LIQ DE SUELDO,2023-11-16 18:22:34.080
"2023276175",NO PROCESADO MEDIPASS,2023-11-14 16:21:00.450
"2023278093",NO PROCESADO MEDIPASS,2023-11-16 13:20:43.577
"2023260267",NO PROCESADO MEDIPASS,2023-11-13 13:17:12.773
"2023275917",NO PROCESADO MEDIPASS,2023-11-13 16:17:59.951
"2023282230",NO PROCESADO MEDIPASS,2023-11-16 13:21:33.445
"2023274149",NO PROCESADO MEDIPASS,2023-11-14 02:16:39.924
"2023275284",NO PROCESADO MEDIPASS,2023-11-14 14:19:22.286
"2023282698",NO IMAGENES CON API,2023-11-16 13:22:47.351
"2023259889",COTIZ < LIQ DE SUELDO,2023-11-09 13:22:26.996
"2023259889",FALTA COTIZ. SALUD,2023-11-09 13:22:26.996
"2023282261",NO IMAGENES CON API,2023-11-15 18:21:48.280
"2023275070",NO PROCESADO MEDIPASS,2023-11-09 13:37:38.667
"2023286552",NO PROCESADO MEDIPASS,2023-11-15 12:44:54.226
"2023274267",NO PROCESADO MEDIPASS,2023-11-10 15:22:11.795
"2023260274",NO PROCESADO MEDIPASS,2023-11-13 14:19:08.120
