"folio_recepcion","descripcion","inicio_carga"
"2024497162",NO PROCESADO MEDIPASS,2024-05-01 01:15:28.151
"2024494459",NO PROCESADO MEDIPASS,2024-05-01 01:45:27.313
"2024494789",NO PROCESADO MEDIPASS,2024-05-01 02:15:27.742
"2024497302",NO PROCESADO MEDIPASS,2024-05-01 02:15:29.188
"2024494480",NO PROCESADO MEDIPASS,2024-05-01 02:45:27.210
"2024494415",NO PROCESADO MEDIPASS,2024-05-01 16:45:27.043
"2024498019",NO PROCESADO MEDIPASS,2024-05-01 17:15:27.600
"2024498459",NO PROCESADO MEDIPASS,2024-05-01 17:45:27.612
"2024494432",NO PROCESADO MEDIPASS,2024-05-01 19:45:27.221
"2024497305",NO PROCESADO MEDIPASS,2024-05-01 19:45:28.728
"2024486393",NO IMAGENES CON API,2024-05-02 04:45:27.632
"2024498818",NO IMAGENES CON API,2024-05-02 04:45:29.201
"2024486059",NO IMAGENES CON API,2024-05-02 04:45:29.231
"2024489770",NO IMAGENES CON API,2024-05-02 04:45:29.266
"2024489695",NO IMAGENES CON API,2024-05-02 04:45:29.296
"2024489137",NO IMAGENES CON API,2024-05-02 04:45:29.319
"2024491928",NO IMAGENES CON API,2024-05-02 04:45:29.345
"2024499121",NO IMAGENES CON API,2024-05-02 04:45:29.370
"2024491164",NO IMAGENES CON API,2024-05-02 04:45:29.394
"2024491955",NO IMAGENES CON API,2024-05-02 04:45:29.416
"2024486286",NO IMAGENES CON API,2024-05-02 04:45:29.441
"2024491335",NO IMAGENES CON API,2024-05-02 04:45:29.479
"2024499190",NO IMAGENES CON API,2024-05-02 04:45:29.505
"2024489007",NO IMAGENES CON API,2024-05-02 04:45:29.535
"2024486358",NO IMAGENES CON API,2024-05-02 04:45:29.561
"2024486315",NO IMAGENES CON API,2024-05-02 04:45:29.588
"2024486071",NO IMAGENES CON API,2024-05-02 04:45:29.613
"2024486170",NO IMAGENES CON API,2024-05-02 04:45:29.649
"2024486361",NO IMAGENES CON API,2024-05-02 04:45:29.673
"2024486395",NO IMAGENES CON API,2024-05-02 04:45:29.696
"2024486308",NO IMAGENES CON API,2024-05-02 04:45:29.741
"2024486298",NO IMAGENES CON API,2024-05-02 04:45:29.768
"2024486148",NO IMAGENES CON API,2024-05-02 04:45:29.796
"2024486041",NO IMAGENES CON API,2024-05-02 04:45:29.831
"2024486350",NO IMAGENES CON API,2024-05-02 04:45:29.856
"2024486360",NO IMAGENES CON API,2024-05-02 04:45:29.880
"2024486238",NO IMAGENES CON API,2024-05-02 04:45:29.907
"2024486062",NO IMAGENES CON API,2024-05-02 04:45:29.929
"2024486400",NO IMAGENES CON API,2024-05-02 04:45:29.953
"2024486333",NO IMAGENES CON API,2024-05-02 04:45:29.981
"2024486326",NO IMAGENES CON API,2024-05-02 04:45:30.100
"2024486037",NO IMAGENES CON API,2024-05-02 04:45:30.201
"2024486094",NO IMAGENES CON API,2024-05-02 04:45:30.228
"2024486202",NO IMAGENES CON API,2024-05-02 04:45:30.270
"2024486075",NO IMAGENES CON API,2024-05-02 04:45:30.301
"2024486388",NO IMAGENES CON API,2024-05-02 04:45:30.332
"2024486390",NO IMAGENES CON API,2024-05-02 04:45:30.372
"2024486342",NO IMAGENES CON API,2024-05-02 04:45:30.405
"2024486291",NO IMAGENES CON API,2024-05-02 04:45:30.435
"2024486019",NO IMAGENES CON API,2024-05-02 04:45:30.473
"2024491320",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.506
"2024491496",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.532
"2024489636",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.556
"2024491201",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.599
"2024499022",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.632
"2024494796",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.676
"2024489628",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.706
"2024499437",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.736
"2024489623",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.761
"2024489204",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.786
"2024491756",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.811
"2024499445",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.836
"2024489621",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.861
"2024491311",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.887
"2024489771",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.908
"2024491342",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.931
"2024499447",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.956
"2024489780",NO PROCESADO MEDIPASS,2024-05-02 04:45:30.986
"2024491760",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.062
"2024491512",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.093
"2024489776",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.118
"2024499442",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.142
"2024489407",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.172
"2024489783",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.197
"2024489189",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.237
"2024491768",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.264
"2024491751",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.288
"2024489863",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.314
"2024499429",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.336
"2024491326",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.362
"2024499236",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.388
"2024491789",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.410
"2024499426",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.437
"2024499221",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.464
"2024489645",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.492
"2024491757",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.515
"2024489611",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.545
"2024491764",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.570
"2024489755",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.592
"2024499438",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.618
"2024489851",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.643
"2024491200",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.666
"2024489607",NO PROCESADO MEDIPASS,2024-05-02 04:45:31.690
"2024489425",NO IMAGENES CON API,2024-05-02 05:15:28.244
"2024489936",NO IMAGENES CON API,2024-05-02 05:15:29.541
"2024498957",NO IMAGENES CON API,2024-05-02 05:15:29.569
"2024491399",NO IMAGENES CON API,2024-05-02 05:15:29.589
"2024491047",NO IMAGENES CON API,2024-05-02 05:15:29.610
"2024491666",NO IMAGENES CON API,2024-05-02 05:15:29.630
"2024499015",NO IMAGENES CON API,2024-05-02 05:15:29.652
"2024486267",NO IMAGENES CON API,2024-05-02 05:15:29.682
"2024499318",NO IMAGENES CON API,2024-05-02 05:15:29.706
"2024489725",NO IMAGENES CON API,2024-05-02 05:15:29.728
"2024491066",NO IMAGENES CON API,2024-05-02 05:15:29.755
"2024491594",NO IMAGENES CON API,2024-05-02 05:15:29.777
"2024489171",NO IMAGENES CON API,2024-05-02 05:15:29.797
"2024498973",NO IMAGENES CON API,2024-05-02 05:15:29.818
"2024489349",NO IMAGENES CON API,2024-05-02 05:15:29.836
"2024491753",NO IMAGENES CON API,2024-05-02 05:15:29.865
"2024489451",NO IMAGENES CON API,2024-05-02 05:15:29.885
"2024491049",NO IMAGENES CON API,2024-05-02 05:15:29.904
"2024491161",NO IMAGENES CON API,2024-05-02 05:15:29.925
"2024489475",NO IMAGENES CON API,2024-05-02 05:15:29.944
"2024491865",NO IMAGENES CON API,2024-05-02 05:15:29.966
"2024489774",NO IMAGENES CON API,2024-05-02 05:15:29.988
"2024491680",NO IMAGENES CON API,2024-05-02 05:15:30.066
"2024498926",NO IMAGENES CON API,2024-05-02 05:15:30.093
"2024491660",NO IMAGENES CON API,2024-05-02 05:15:30.115
"2024491931",NO IMAGENES CON API,2024-05-02 05:15:30.139
"2024486223",NO IMAGENES CON API,2024-05-02 05:15:30.167
"2024489857",NO IMAGENES CON API,2024-05-02 05:15:30.187
"2024489726",NO IMAGENES CON API,2024-05-02 05:15:30.209
"2024499209",NO IMAGENES CON API,2024-05-02 05:15:30.229
"2024486276",NO IMAGENES CON API,2024-05-02 05:15:30.264
"2024491149",NO IMAGENES CON API,2024-05-02 05:15:30.284
"2024491442",NO IMAGENES CON API,2024-05-02 05:15:30.313
"2024489974",NO IMAGENES CON API,2024-05-02 05:15:30.336
"2024489043",NO IMAGENES CON API,2024-05-02 05:15:30.367
"2024486312",NO IMAGENES CON API,2024-05-02 05:15:30.401
"2024486189",NO IMAGENES CON API,2024-05-02 05:15:30.420
"2024489486",NO IMAGENES CON API,2024-05-02 05:15:30.439
"2024491800",NO IMAGENES CON API,2024-05-02 05:15:30.475
"2024491101",NO IMAGENES CON API,2024-05-02 05:15:30.501
"2024489154",NO IMAGENES CON API,2024-05-02 05:15:30.521
"2024486122",NO IMAGENES CON API,2024-05-02 05:15:30.543
"2024494848",NO IMAGENES CON API,2024-05-02 05:15:30.565
"2024499450",NO IMAGENES CON API,2024-05-02 05:15:30.596
"2024486341",NO IMAGENES CON API,2024-05-02 05:15:30.617
"2024489294",NO IMAGENES CON API,2024-05-02 05:15:30.637
"2024498939",NO IMAGENES CON API,2024-05-02 05:15:30.656
"2024489573",NO IMAGENES CON API,2024-05-02 05:15:30.677
"2024486022",NO IMAGENES CON API,2024-05-02 05:15:30.697
"2024499001",NO IMAGENES CON API,2024-05-02 05:15:30.717
"2024489782",NO IMAGENES CON API,2024-05-02 05:15:30.737
