"folio_recepcion","descripcion","fecha_recepcion"
"2024209291",FALTA COTIZ. SALUD,2024-05-22
"2024209291",COTIZ < LIQ DE SUELDO,2024-05-22
"2024043036",FALTA COTIZ. SALUD,2024-05-08
"2024043036",NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-05-08
"2024200255",RENTA = TOPE,2024-05-16
"2024467188",FALTA COTIZ. SALUD,2024-05-20
"2024209010",COTIZ < LIQ DE SUELDO,2024-05-22
"2024209010",RENTA = TOPE,2024-05-22
"2024222509",NO HAY IMAGENES PARA DESCARGAR,2024-05-22
"2024225134",COTIZ < LIQ DE SUELDO,2024-05-22
"2024225165",COTIZ < LIQ DE SUELDO,2024-05-22
"2024224519",COTIZ < LIQ DE SUELDO,2024-05-17
"2024225021",COTIZ < LIQ DE SUELDO,2024-05-22
"2024222270",COTIZ < LIQ DE SUELDO,2024-05-20
"2024203235",RENTA = TOPE,2024-05-27
"2024496326",NO PROCESADO MEDIPASS,2024-05-09
"2024225062",COTIZ < LIQ DE SUELDO,2024-05-22
"2024227329",COTIZ < LIQ DE SUELDO,2024-05-20
"2024203196",COTIZ < LIQ DE SUELDO,2024-05-27
"2024229182",NO PROCESADO MEDIPASS,2024-05-24
"2024227415",COTIZ < LIQ DE SUELDO,2024-05-20
"2024203209",COTIZ < LIQ DE SUELDO,2024-05-27
"2024227747",COTIZ < LIQ DE SUELDO,2024-05-24
"2024203389",COTIZ < LIQ DE SUELDO,2024-05-27
"2024203430",COTIZ < LIQ DE SUELDO,2024-05-27
"2024203432",COTIZ < LIQ DE SUELDO,2024-05-27
"2024228603",COTIZ < LIQ DE SUELDO,2024-05-24
"2024228555",COTIZ < LIQ DE SUELDO,2024-05-24
"2024202841",RENTA = TOPE,2024-05-27
"2024227649",COTIZ < LIQ DE SUELDO,2024-05-20
"2024467108",NO HAY IMAGENES PARA DESCARGAR,2024-05-06
"2024225302",COTIZ < LIQ DE SUELDO,2024-05-22
"2024202881",COTIZ < LIQ DE SUELDO,2024-05-27
"2024209365",COTIZ < LIQ DE SUELDO,2024-05-22
"2024203038",COTIZ < LIQ DE SUELDO,2024-05-27
"2024222076",COTIZ < LIQ DE SUELDO,2024-05-20
"2024225337",COTIZ < LIQ DE SUELDO,2024-05-22
"2024003229",FALTA COTIZ. SALUD,2024-05-28
"2024225309",FALTA COTIZ. SALUD,2024-05-22
"2024499836",FALTA COTIZ. SALUD,2024-05-20
"2024227336",FALTA COTIZ. SALUD,2024-05-20
"2024222976",COTIZ < LIQ DE SUELDO,2024-05-22
"2024467205",FALTA COTIZ. SALUD,2024-05-27
"2024225076",FALTA COTIZ. SALUD,2024-05-22
"2024228573",NO HAY IMAGENES PARA DESCARGAR,2024-05-24
"2024203280",COTIZ < LIQ DE SUELDO,2024-05-27
"2024222987",COTIZ < LIQ DE SUELDO,2024-05-22
"2024225401",NO PROCESADO MEDIPASS,2024-05-22
"2024499812",NO PROCESADO MEDIPASS,2024-05-15
"2024225289",COTIZ < LIQ DE SUELDO,2024-05-22
"2024228194",COTIZ < LIQ DE SUELDO,2024-05-24
"2024225253",COTIZ < LIQ DE SUELDO,2024-05-22
"2024225027",COTIZ < LIQ DE SUELDO,2024-05-22
"2024222994",COTIZ < LIQ DE SUELDO,2024-05-22
"2024209379",COTIZ < LIQ DE SUELDO,2024-05-22
"2024218315",COTIZ < LIQ DE SUELDO,2024-05-17
"2024222773",COTIZ < LIQ DE SUELDO,2024-05-22
"2024227007",FALTA COTIZ. SALUD,2024-05-20
"2024224101",COTIZ < LIQ DE SUELDO,2024-05-17
"2024218306",COTIZ < LIQ DE SUELDO,2024-05-17
"2024218557",COTIZ < LIQ DE SUELDO,2024-05-17
"2024224501",FALTA COTIZ. SALUD,2024-05-17
"2024225110",COTIZ < LIQ DE SUELDO,2024-05-22
"2024225118",COTIZ < LIQ DE SUELDO,2024-05-22
"2024202995",COTIZ < LIQ DE SUELDO,2024-05-27
