"folio_recepcion","estado_final_lm","fecha_recepcion","fecha_publicacion"
"2024497556",3,2024-04-26 11:22:00.000,2024-05-06 04:20:38.102
"2024462236",3,2024-04-16 08:04:00.000,2024-04-17 21:20:37.239
"2024462776",3,2024-04-16 08:04:00.000,2024-04-17 21:25:47.073
"2024462338",3,2024-04-16 08:05:00.000,2024-04-17 21:22:17.226
"2024477408",3,2024-04-17 08:04:00.000,2024-04-18 22:30:26.601
"2024470440",3,2024-04-17 21:59:00.000,2024-04-23 17:18:59.350
"2024477399",3,2024-04-17 17:38:00.000,2024-04-23 14:20:08.161
"2024460731",3,2024-04-02 12:45:00.000,2024-04-08 00:17:51.563
"2024470443",3,2024-04-17 19:39:00.000,2024-04-23 17:19:10.236
"2024477553",3,2024-04-17 17:47:00.000,2024-04-23 14:20:24.313
"2024462496",3,2024-04-16 09:45:00.000,2024-04-22 20:19:31.203
"2024462112",3,2024-04-16 09:41:00.000,2024-04-22 19:17:47.953
"2024477244",6,2024-04-17 08:08:00.000,2024-04-18 20:23:05.222
"2024477276",3,2024-04-17 08:08:00.000,2024-04-18 20:23:13.995
"2024470787",3,2024-04-17 16:24:00.000,2024-04-23 01:19:33.844
"2024470681",6,2024-04-17 22:44:00.000,2024-04-23 17:19:34.314
"2024476661",3,2024-04-05 09:31:00.000,2024-04-11 21:24:45.939
"2024472802",3,2024-04-10 16:04:00.000,2024-04-11 15:16:08.238
"2024470995",3,2024-04-17 23:16:00.000,2024-04-23 17:20:14.639
"2024474714",3,2024-04-19 11:37:00.000,2024-04-24 22:21:53.368
"2024468738",4,2024-04-23 08:09:00.000,2024-04-24 21:20:15.634
"2024471760",3,2024-04-22 08:17:00.000,2024-04-23 17:21:27.899
"2024471793",3,2024-04-22 08:02:00.000,2024-04-23 17:21:39.909
"2024477314",6,2024-04-17 06:38:00.000,2024-04-23 17:23:21.975
"2024478070",3,2024-04-09 12:23:00.000,2024-04-09 23:18:12.065
"2024453983",3,2024-04-01 17:35:00.000,2024-04-05 16:22:36.415
"2024471631",3,2024-04-22 18:27:00.000,2024-04-25 16:18:53.148
"2024461853",6,2024-04-15 08:06:00.000,2024-04-16 19:23:17.038
"2024470979",3,2024-04-17 12:00:00.000,2024-04-23 21:19:54.788
"2024477596",3,2024-04-17 20:11:00.000,2024-04-23 17:24:02.471
