"folio_recepcion","estado_final_lm","fecha_recepcion","fecha_publicacion"
"2024484435",3,2024-05-07 00:03:00.000,2024-05-13 21:37:16.617
"2024204259",3,2024-05-09 17:47:00.000,2024-05-15 16:17:07.979
"2024204935",3,2024-05-10 08:11:00.000,2024-05-13 22:17:13.481
"2024204360",3,2024-05-09 17:05:00.000,2024-05-15 16:18:13.522
"2024228266",6,2024-05-24 00:01:00.000,2024-05-27 15:18:03.290
"2024224001",6,2024-05-16 00:01:00.000,2024-05-23 22:23:57.522
"2024217615",6,2024-05-29 00:01:00.000,2024-05-31 14:19:01.762
"2024484242",6,2024-05-07 00:01:00.000,2024-05-08 14:16:15.107
"2024217133",6,2024-05-29 00:01:00.000,2024-05-30 19:26:46.164
"2024225577",6,2024-05-23 00:01:00.000,2024-05-24 16:25:26.116
"2024205837",6,2024-05-13 00:01:00.000,2024-05-14 14:17:28.419
"2024222800",3,2024-05-22 20:33:00.000,2024-05-29 22:22:04.406
"2024219273",3,2024-05-28 08:02:00.000,2024-05-30 14:17:51.067
"2024202711",6,2024-05-27 00:01:00.000,2024-05-28 13:18:09.884
"2024227205",6,2024-05-20 00:01:00.000,2024-05-27 20:31:47.217
"2024487292",6,2024-05-02 00:01:00.000,2024-05-03 13:16:29.124
"2024217086",6,2024-05-29 00:01:00.000,2024-05-30 19:26:41.896
"2024216890",6,2024-05-29 00:01:00.000,2024-05-30 19:26:23.636
"2024488024",6,2024-05-03 00:01:00.000,2024-05-08 23:16:14.800
"2024201643",6,2024-05-16 00:01:00.000,2024-05-17 23:16:44.861
"2024205452",6,2024-05-13 00:01:00.000,2024-05-16 21:16:52.102
"2024485097",6,2024-05-07 00:01:00.000,2024-05-08 13:16:27.501
"2024219246",6,2024-05-28 08:06:00.000,2024-05-30 16:28:09.627
"2024217275",6,2024-05-29 00:01:00.000,2024-05-30 19:27:07.808
"2024485775",6,2024-05-08 00:01:00.000,2024-05-09 14:17:30.823
"2024203114",6,2024-05-27 00:01:00.000,2024-05-30 19:18:13.184
"2024208515",6,2024-05-14 00:01:00.000,2024-05-17 23:19:25.343
"2024484921",6,2024-05-07 00:01:00.000,2024-05-08 14:17:36.221
"2024487421",6,2024-05-02 00:01:00.000,2024-05-03 13:16:51.424
"2024209147",6,2024-05-22 00:01:00.000,2024-05-23 15:21:28.866
"2024212660",6,2024-05-23 00:01:00.000,2024-05-24 14:17:24.355
"2024224010",6,2024-05-16 00:01:00.000,2024-05-17 22:33:36.534
"2024212578",3,2024-05-23 14:34:00.000,2024-05-29 21:26:04.695
"2024210002",6,2024-05-10 00:01:00.000,2024-05-13 14:17:28.955
"2024496834",6,2024-05-14 00:01:00.000,2024-05-15 15:18:46.694
"2024225859",6,2024-05-23 15:52:00.000,2024-05-29 21:34:39.165
"2024201858",6,2024-05-16 00:01:00.000,2024-05-17 22:17:28.763
"2024217807",6,2024-05-29 00:01:00.000,2024-05-31 14:19:04.035
"2024217966",6,2024-05-29 00:01:00.000,2024-05-31 14:19:05.108
"2024204398",6,2024-05-09 00:01:00.000,2024-05-14 23:16:19.400
"2024200008",3,2024-05-15 14:25:00.000,2024-05-24 04:16:48.850
"2024487405",6,2024-05-02 00:01:00.000,2024-05-03 13:16:48.471
"2024484475",6,2024-05-07 00:01:00.000,2024-05-13 21:37:29.303
"2024490898",6,2024-05-06 00:01:00.000,2024-05-07 13:17:43.977
"2024493621",6,2024-05-08 00:01:00.000,2024-05-09 13:16:49.065
"2024496276",6,2024-05-09 00:01:00.000,2024-05-14 18:26:25.318
"2024225291",3,2024-05-22 10:07:00.000,2024-05-24 15:19:03.827
"2024200503",6,2024-05-16 00:01:00.000,2024-05-17 22:16:07.715
"2024218033",6,2024-05-17 00:01:00.000,2024-05-20 14:18:20.416
"2024227097",3,2024-05-20 10:15:00.000,2024-05-24 20:39:33.218
"2024209985",4,2024-05-23 10:07:00.000,2024-05-27 21:16:42.697
"2024483516",6,2024-05-06 17:52:00.000,2024-05-13 13:19:41.557
"2024483882",3,2024-05-06 08:07:00.000,2024-05-07 19:19:35.145
"2024488380",3,2024-05-03 12:47:00.000,2024-05-13 05:23:01.652
"2024224774",3,2024-05-17 07:42:00.000,2024-05-27 18:25:26.006
"2024229148",6,2024-05-24 00:01:00.000,2024-05-27 14:18:01.081
"2024003256",6,2024-05-24 00:01:00.000,2024-05-27 22:16:14.229
"2024487570",3,2024-05-03 10:09:00.000,2024-05-09 23:16:25.987
"2024225581",6,2024-05-23 00:01:00.000,2024-05-24 15:19:16.337
"2024485825",6,2024-05-08 00:01:00.000,2024-05-13 18:24:51.172
"2024204516",6,2024-05-09 00:01:00.000,2024-05-10 15:17:30.502
"2024218533",6,2024-05-17 00:01:00.000,2024-05-20 14:19:09.579
"2024219757",6,2024-05-29 00:01:00.000,2024-05-30 18:43:33.923
"2024488634",6,2024-05-03 00:01:00.000,2024-05-09 21:22:29.465
"2024225744",6,2024-05-23 00:01:00.000,2024-05-24 13:16:53.807
"2024204446",6,2024-05-09 00:01:00.000,2024-05-14 23:16:28.582
"2024485323",6,2024-05-07 00:01:00.000,2024-05-10 21:20:43.838
"2024212980",6,2024-05-23 00:01:00.000,2024-05-24 15:18:06.310
"2024210081",6,2024-05-10 00:01:00.000,2024-05-13 14:17:32.319
"2024209470",6,2024-05-22 00:01:00.000,2024-05-23 15:22:01.484
"2024496270",6,2024-05-09 00:01:00.000,2024-05-13 18:25:43.110
"2024200500",6,2024-05-16 00:01:00.000,2024-05-17 23:16:06.778
"2024200554",6,2024-05-16 00:01:00.000,2024-05-17 22:16:18.185
"2024486574",6,2024-05-02 00:01:00.000,2024-05-03 14:16:34.505
"2024204407",6,2024-05-09 00:01:00.000,2024-05-13 22:15:58.957
"2024202206",6,2024-05-27 00:01:00.000,2024-05-28 13:17:36.840
"2024222712",6,2024-05-22 00:01:00.000,2024-05-28 17:21:24.453
"2024485316",6,2024-05-07 00:01:00.000,2024-05-13 05:22:30.382
"2024483185",6,2024-05-06 00:01:00.000,2024-05-07 13:16:27.420
"2024225761",6,2024-05-23 00:01:00.000,2024-05-24 14:18:22.521
"2024201628",6,2024-05-16 00:01:00.000,2024-05-17 23:16:43.862
"2024200483",6,2024-05-16 00:01:00.000,2024-05-23 17:20:25.304
"2024484448",6,2024-05-07 00:01:00.000,2024-05-13 15:24:06.034
"2024201692",6,2024-05-16 00:01:00.000,2024-05-17 23:16:53.093
"2024499979",6,2024-05-20 00:01:00.000,2024-05-23 15:36:19.931
"2024224628",6,2024-05-17 00:01:00.000,2024-05-20 14:20:53.989
"2024200429",6,2024-05-16 19:03:00.000,2024-05-23 19:17:29.595
"2024483069",3,2024-05-06 15:31:00.000,2024-05-09 15:16:03.092
"2024200905",3,2024-05-16 16:50:00.000,2024-05-20 20:19:15.502
"2024207275",6,2024-05-10 00:01:00.000,2024-05-14 16:16:53.097
"2024219009",6,2024-05-27 00:01:00.000,2024-05-28 13:19:11.368
"2024200491",6,2024-05-16 00:01:00.000,2024-05-22 17:16:05.497
"2024202243",6,2024-05-27 00:01:00.000,2024-05-28 13:17:48.804
"2024483429",6,2024-05-06 13:17:00.000,2024-05-09 15:16:09.424
"2024207310",6,2024-05-10 00:01:00.000,2024-05-16 15:17:00.883
"2024499659",6,2024-05-15 00:01:00.000,2024-05-16 13:17:22.990
"2024210779",6,2024-05-14 00:01:00.000,2024-05-15 15:17:36.871
"2024487477",3,2024-05-03 13:50:00.000,2024-05-09 15:17:26.088
"2024227695",6,2024-05-20 00:01:00.000,2024-05-23 23:17:29.951
"2024483565",3,2024-05-06 10:14:00.000,2024-05-13 20:16:59.297
"2024483048",3,2024-05-06 14:37:00.000,2024-05-13 05:17:16.438
"2024487489",3,2024-05-03 15:30:00.000,2024-05-09 15:17:33.063
"2024485071",3,2024-05-07 11:46:00.000,2024-05-13 20:18:02.666
"2024483486",3,2024-05-06 12:51:00.000,2024-05-13 05:19:22.770
"2024490939",3,2024-05-06 12:47:00.000,2024-05-13 05:25:54.415
"2024225924",6,2024-05-23 00:01:00.000,2024-05-24 16:25:47.381
"2024496316",6,2024-05-09 00:01:00.000,2024-05-10 15:18:35.877
"2024207266",6,2024-05-10 00:01:00.000,2024-05-16 02:16:19.660
"2024485175",6,2024-05-07 00:01:00.000,2024-05-08 13:16:41.716
"2024211432",6,2024-05-15 00:01:00.000,2024-05-20 20:28:37.478
"2024499965",6,2024-05-20 00:01:00.000,2024-05-23 15:36:16.860
"2024485146",6,2024-05-07 00:01:00.000,2024-05-10 23:20:44.162
"2024227382",6,2024-05-20 00:01:00.000,2024-05-23 15:34:08.279
"2024200434",3,2024-05-16 16:44:00.000,2024-05-20 14:16:50.769
"2024208712",6,2024-05-14 00:06:00.000,2024-05-22 20:18:01.327
"2024218092",3,2024-05-17 08:12:00.000,2024-05-22 23:18:51.504
"2024200456",6,2024-05-16 16:49:00.000,2024-05-20 14:17:05.061
"2024224799",6,2024-05-17 00:01:00.000,2024-05-20 14:20:56.294
"2024212093",6,2024-05-23 00:01:00.000,2024-05-24 14:16:30.822
"2024210743",6,2024-05-14 00:01:00.000,2024-05-15 15:17:23.093
"2024499627",6,2024-05-15 00:01:00.000,2024-05-22 17:16:15.263
"2024203133",6,2024-05-27 00:01:00.000,2024-05-31 01:17:56.794
"2024218158",6,2024-05-17 08:46:00.000,2024-05-22 23:19:25.395
"2024218302",3,2024-05-17 08:12:00.000,2024-05-22 23:21:12.094
"2024224802",6,2024-05-17 00:01:00.000,2024-05-20 14:20:57.321
"2024209798",3,2024-05-23 09:04:00.000,2024-05-27 20:19:09.881
"2024205640",3,2024-05-13 17:54:00.000,2024-05-20 20:25:18.864
"2024200717",3,2024-05-16 16:59:00.000,2024-05-20 16:17:37.217
"2024212475",6,2024-05-23 00:01:00.000,2024-05-24 15:17:03.121
"2024484981",6,2024-05-07 00:01:00.000,2024-05-08 14:17:42.753
"2024200730",3,2024-05-16 16:44:00.000,2024-05-20 14:17:10.919
"2024209623",6,2024-05-22 00:01:00.000,2024-05-23 15:22:16.942
"2024212835",6,2024-05-23 00:01:00.000,2024-05-28 02:16:06.357
"2024217307",6,2024-05-29 00:01:00.000,2024-05-30 19:27:17.843
"2024207056",6,2024-05-10 00:01:00.000,2024-05-13 14:16:25.297
"2024202141",6,2024-05-27 00:01:00.000,2024-05-28 13:17:11.593
"2024222703",6,2024-05-22 00:01:00.000,2024-05-23 15:33:04.216
"2024200547",6,2024-05-16 00:01:00.000,2024-05-17 22:16:17.163
"2024205502",3,2024-05-13 18:15:00.000,2024-05-20 14:17:20.487
"2024483685",3,2024-05-06 17:55:00.000,2024-05-10 19:17:00.173
"2024212395",6,2024-05-23 00:01:00.000,2024-05-24 14:16:47.586
"2024487214",6,2024-05-02 00:01:00.000,2024-05-03 13:16:17.888
"2024200803",6,2024-05-16 00:01:00.000,2024-05-20 16:17:38.365
"2024205632",3,2024-05-13 18:19:00.000,2024-05-20 14:17:27.784
"2024228983",6,2024-05-24 00:01:00.000,2024-05-27 14:17:12.986
"2024485066",6,2024-05-07 00:01:00.000,2024-05-08 14:17:57.758
"2024222948",6,2024-05-22 00:01:00.000,2024-05-23 15:33:11.626
"2024212915",6,2024-05-23 00:01:00.000,2024-05-24 16:19:40.818
"2024483177",6,2024-05-06 00:01:00.000,2024-05-07 13:16:23.009
"2024202816",6,2024-05-27 16:27:00.000,2024-05-30 20:16:55.902
"2024228231",3,2024-05-24 17:32:00.000,2024-05-30 20:22:53.335
"2024228616",3,2024-05-24 17:26:00.000,2024-05-30 20:23:54.582
"2024228622",3,2024-05-24 17:51:00.000,2024-05-30 20:24:01.066
"2024228711",3,2024-05-24 16:40:00.000,2024-05-30 20:24:14.263
"2024485195",6,2024-05-07 00:01:00.000,2024-05-08 14:18:21.907
"2024202920",6,2024-05-27 00:01:00.000,2024-05-28 13:18:22.859
"2024488126",3,2024-05-03 08:28:00.000,2024-05-06 22:19:17.139
"2024488586",3,2024-05-03 08:06:00.000,2024-05-06 20:21:26.985
"2024485624",3,2024-05-08 08:11:00.000,2024-05-09 21:19:21.607
"2024224402",6,2024-05-17 00:01:00.000,2024-05-20 14:20:31.997
"2024212296",6,2024-05-23 00:01:00.000,2024-05-28 20:15:58.021
"2024499900",6,2024-05-20 00:01:00.000,2024-05-23 15:36:08.652
"2024487785",6,2024-05-03 00:01:00.000,2024-05-06 13:16:25.921
"2024224374",6,2024-05-17 00:01:00.000,2024-05-20 14:20:23.787
"2024210645",6,2024-05-13 09:08:00.000,2024-05-14 20:18:13.897
"2024210659",6,2024-05-13 09:07:00.000,2024-05-14 20:18:23.950
