"date","descripcion","total_publicaciones"
2023-11-02,COTIZ < LIQ DE SUELDO,87
2023-11-02,FALTA COTIZ. SALUD,31
2023-11-02,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,1
2023-11-02,NO HAY IMAGENES PARA DESCARGAR,6
2023-11-02,NO IMAGENES CON API,46
2023-11-02,NO PROCESADO MEDIPASS,218
2023-11-02,RENTA = TOPE,22
2023-11-02,,356
2023-11-03,COTIZ < LIQ DE SUELDO,45
2023-11-03,FALTA COTIZ. SALUD,25
2023-11-03,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,1
2023-11-03,NO HAY IMAGENES PARA DESCARGAR,15
2023-11-03,NO PROCESADO MEDIPASS,131
2023-11-03,NO SE ENCUENTRA CODIGO AFP,1
2023-11-03,RENTA = TOPE,16
2023-11-03,,371
2023-11-04,NO PROCESADO MEDIPASS,1
2023-11-06,COTIZ < LIQ DE SUELDO,96
2023-11-06,FALTA COTIZ. SALUD,50
2023-11-06,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2
2023-11-06,NO HAY IMAGENES PARA DESCARGAR,10
2023-11-06,NO IMAGENES CON API,40
2023-11-06,NO PROCESADO MEDIPASS,138
2023-11-06,NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,1
2023-11-06,RENTA = TOPE,28
2023-11-06,,561
2023-11-07,COTIZ < LIQ DE SUELDO,70
2023-11-07,FALTA COTIZ. SALUD,39
2023-11-07,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,1
2023-11-07,NO HAY IMAGENES PARA DESCARGAR,10
2023-11-07,NO IMAGENES CON API,6
2023-11-07,NO PROCESADO MEDIPASS,190
2023-11-07,RENTA = TOPE,14
2023-11-07,,382
2023-11-08,COTIZ < LIQ DE SUELDO,142
2023-11-08,FALTA COTIZ. SALUD,101
2023-11-08,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2
2023-11-08,NO HAY IMAGENES PARA DESCARGAR,56
2023-11-08,NO IMAGENES CON API,1
2023-11-08,NO PROCESADO MEDIPASS,189
2023-11-08,NO SE ENCUENTRA CODIGO AFP,1
2023-11-08,NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,1
2023-11-08,RENTA = TOPE,18
2023-11-08,,569
2023-11-09,COTIZ < LIQ DE SUELDO,112
2023-11-09,FALTA COTIZ. SALUD,80
2023-11-09,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2
2023-11-09,NO HAY IMAGENES PARA DESCARGAR,22
2023-11-09,NO IMAGENES CON API,1
2023-11-09,NO PROCESADO MEDIPASS,170
2023-11-09,RENTA = TOPE,15
2023-11-09,,490
2023-11-10,COTIZ < LIQ DE SUELDO,53
2023-11-10,FALTA COTIZ. SALUD,54
2023-11-10,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2
2023-11-10,NO HAY IMAGENES PARA DESCARGAR,16
2023-11-10,NO PROCESADO MEDIPASS,154
2023-11-10,RENTA = TOPE,5
2023-11-10,,275
2023-11-11,NO PROCESADO MEDIPASS,4
2023-11-13,COTIZ < LIQ DE SUELDO,95
2023-11-13,FALTA COTIZ. SALUD,58
2023-11-13,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,1
2023-11-13,NO HAY IMAGENES PARA DESCARGAR,24
2023-11-13,NO IMAGENES CON API,41
2023-11-13,NO PROCESADO MEDIPASS,176
2023-11-13,RENTA = TOPE,12
2023-11-13,,462
2023-11-14,COTIZ < LIQ DE SUELDO,47
2023-11-14,FALTA COTIZ. SALUD,43
2023-11-14,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,1
2023-11-14,NO HAY IMAGENES PARA DESCARGAR,19
2023-11-14,NO IMAGENES CON API,2
2023-11-14,NO PROCESADO MEDIPASS,219
2023-11-14,RENTA = TOPE,6
2023-11-14,,297
2023-11-15,COTIZ < LIQ DE SUELDO,95
2023-11-15,FALTA COTIZ. SALUD,49
2023-11-15,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,3
2023-11-15,NO HAY IMAGENES PARA DESCARGAR,8
2023-11-15,NO IMAGENES CON API,11
2023-11-15,NO PROCESADO MEDIPASS,174
2023-11-15,NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2
2023-11-15,RENTA = TOPE,8
2023-11-15,,419
2023-11-16,COTIZ < LIQ DE SUELDO,96
2023-11-16,FALTA COTIZ. SALUD,28
