"folio_recepcion","descripcion","fecha_publicacion"
"2023190046",NO HAY IMAGENES PARA DESCARGAR,2023-11-28 21:17:26.062
"2023294553",RENTA = TOPE,2023-11-28 02:30:42.689
"2023294553",COTIZ < LIQ DE SUELDO,2023-11-28 02:30:42.689
"2023287265",,2023-11-27 23:16:57.223
"2023189350",FALTA COTIZ. SALUD,2023-11-20 14:17:05.563
"2023286648",COTIZ < LIQ DE SUELDO,2023-11-20 19:19:26.542
"2023286648",FALTA COTIZ. SALUD,2023-11-20 19:19:26.542
"2023150255",NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-11-27 19:17:58.578
"2023150255",FALTA COTIZ. SALUD,2023-11-27 19:17:58.578
"2023004227",FALTA COTIZ. SALUD,2023-11-21 13:17:47.391
"2023282048",,2023-11-20 21:17:32.329
"2023281084",,2023-11-27 20:17:57.722
"2023291254",,2023-11-20 21:32:05.862
"2023291261",,2023-11-20 21:32:16.644
"2023282057",COTIZ < LIQ DE SUELDO,2023-11-21 17:17:43.260
"2023003628",NO HAY IMAGENES PARA DESCARGAR,2023-11-20 19:16:00.551
"2023289468",RENTA = TOPE,2023-11-22 20:47:03.904
"2023289468",COTIZ < LIQ DE SUELDO,2023-11-22 20:47:03.904
"2023282997",COTIZ < LIQ DE SUELDO,2023-11-20 21:25:19.965
"2023293041",,2023-11-21 16:25:52.121
"2023018251",FALTA COTIZ. SALUD,2023-11-22 16:17:29.974
"2023281164",,2023-11-28 15:16:43.476
"2023291034",,2023-11-20 20:32:24.772
"2023286427",,2023-11-20 13:17:07.028
"2023004226",FALTA COTIZ. SALUD,2023-11-20 01:17:33.298
"2023187193",FALTA COTIZ. SALUD,2023-11-20 04:17:36.250
"2023282029",,2023-11-20 14:17:21.239
"2023286325",COTIZ < LIQ DE SUELDO,2023-11-20 15:19:09.701
"2023027088",FALTA COTIZ. SALUD,2023-11-20 01:17:45.893
"2023282693",,2023-11-20 14:17:34.137
"2023286696",COTIZ < LIQ DE SUELDO,2023-11-20 19:19:35.989
"2023173922",FALTA COTIZ. SALUD,2023-11-21 02:16:17.171
"2023286906",FALTA COTIZ. SALUD,2023-11-20 15:21:08.704
"2023173898",NO HAY IMAGENES PARA DESCARGAR,2023-11-20 01:17:47.009
"2023290186",NO PROCESADO MEDIPASS,2023-11-20 15:21:19.166
"2023286929",COTIZ < LIQ DE SUELDO,2023-11-20 19:20:04.478
"2023173915",FALTA COTIZ. SALUD,2023-11-20 01:17:58.062
"2023282070",COTIZ < LIQ DE SUELDO,2023-11-21 14:17:22.946
"2023286950",,2023-11-20 01:45:41.135
"2023291126",,2023-11-20 20:33:21.298
"2023283113",COTIZ < LIQ DE SUELDO,2023-11-20 04:19:52.673
"2023290020",COTIZ < LIQ DE SUELDO,2023-11-20 19:20:11.713
"2023283471",COTIZ < LIQ DE SUELDO,2023-11-20 04:21:27.468
"2023173917",FALTA COTIZ. SALUD,2023-11-20 01:18:06.390
"2023292399",,2023-11-20 15:24:49.026
"2023173924",FALTA COTIZ. SALUD,2023-11-20 01:18:14.242
"2023191306",FALTA COTIZ. SALUD,2023-11-20 01:18:22.309
"2023286718",COTIZ < LIQ DE SUELDO,2023-11-20 13:17:27.967
"2023278844",,2023-11-20 01:18:35.901
"2023282384",COTIZ < LIQ DE SUELDO,2023-11-20 21:20:20.298
"2023278846",,2023-11-20 01:18:42.253
"2023283584",,2023-11-20 04:22:11.935
"2023278847",,2023-11-20 01:18:49.154
"2023286730",,2023-11-20 13:17:35.845
"2023278918",COTIZ < LIQ DE SUELDO,2023-11-20 01:19:26.303
"2023282922",COTIZ < LIQ DE SUELDO,2023-11-20 14:17:41.824
"2023286751",,2023-11-20 13:17:41.666
"2023283664",,2023-11-20 04:23:19.040
"2023292850",COTIZ < LIQ DE SUELDO,2023-11-20 15:25:01.291
"2023283006",NO HAY IMAGENES PARA DESCARGAR,2023-11-20 01:19:28.425
"2023283696",,2023-11-20 04:23:36.466
"2023283066",,2023-11-20 01:19:48.756
"2023286813",,2023-11-20 13:17:56.255
"2023283665",,2023-11-20 04:23:24.594
"2023290139",,2023-11-20 19:20:48.219
"2023286829",COTIZ < LIQ DE SUELDO,2023-11-20 13:18:05.823
"2023283111",,2023-11-20 01:19:53.748
"2023291161",,2023-11-20 20:33:28.715
"2023283157",COTIZ < LIQ DE SUELDO,2023-11-20 01:20:18.933
"2023290002",,2023-11-20 01:45:59.172
"2023290008",,2023-11-20 01:46:06.997
"2023283256",,2023-11-20 01:20:33.050
"2023285101",,2023-11-20 04:25:40.469
"2023290103",,2023-11-20 13:18:14.173
"2023283383",,2023-11-20 01:20:55.598
"2023285753",,2023-11-20 03:33:41.356
"2023285166",COTIZ < LIQ DE SUELDO,2023-11-20 04:26:17.009
"2023285608",,2023-11-20 03:32:19.787
"2023283395",FALTA COTIZ. SALUD,2023-11-20 01:21:09.896
"2023283419",,2023-11-20 01:21:16.442
"2023290015",,2023-11-20 01:46:15.535
"2023283440",COTIZ < LIQ DE SUELDO,2023-11-20 01:21:36.504
"2023286360",,2023-11-20 14:17:55.993
"2023285169",COTIZ < LIQ DE SUELDO,2023-11-20 04:26:31.847
"2023290121",,2023-11-20 13:18:25.216
"2023283556",,2023-11-20 01:22:00.657
"2023283568",NO HAY IMAGENES PARA DESCARGAR,2023-11-20 01:22:14.904
"2023290035",,2023-11-20 01:46:35.972
"2023285212",,2023-11-20 04:27:11.182
"2023283590",,2023-11-20 01:22:28.626
"2023285817",,2023-11-20 03:34:55.939
"2023283610",COTIZ < LIQ DE SUELDO,2023-11-20 01:22:51.338
"2023285322",,2023-11-20 04:27:20.457
"2023283637",,2023-11-20 01:23:06.444
"2023283679",,2023-11-20 01:23:39.323
"2023285328",,2023-11-20 04:27:28.153
"2023290051",COTIZ < LIQ DE SUELDO,2023-11-20 04:31:23.889
"2023285358",,2023-11-20 04:27:35.251
"2023290222",,2023-11-20 19:21:28.188
"2023283852",COTIZ < LIQ DE SUELDO,2023-11-20 01:24:21.217
"2023285382",COTIZ < LIQ DE SUELDO,2023-11-20 04:28:01.198
"2023291251",,2023-11-20 20:33:43.601
"2023283861",,2023-11-20 01:24:40.021
"2023286294",,2023-11-20 04:28:42.847
"2023290140",,2023-11-20 04:31:36.257
"2023283882",,2023-11-20 01:25:09.713
"2023290533",NO HAY IMAGENES PARA DESCARGAR,2023-11-20 13:18:28.279
"2023286669",COTIZ < LIQ DE SUELDO,2023-11-20 04:30:01.373
"2023290242",,2023-11-20 19:22:06.409
"2023286733",,2023-11-20 04:30:10.417
"2023283908",,2023-11-20 01:25:45.835
"2023292626",,2023-11-20 13:18:42.038
"2023283952",,2023-11-20 01:26:25.891
"2023283979",,2023-11-20 01:26:55.974
"2023285089",,2023-11-20 01:27:04.046
"2023285116",,2023-11-20 01:27:16.470
"2023290269",,2023-11-20 01:48:45.985
