Error;23-oct;24-oct;25-oct;26-oct;30-oct;31-oct;02-nov
BPO_Extrae_total_de_haberes;0;1;0;0;0;0;0
BPO_No_se_extrae_glosas;0;2;1;2;0;0;0
BPO-Error_aplicación_de_plantilla;2;2;2;1;1;0;0
BPO-Error_de_extracción;1;0;2;0;0;1;0
BPO-Error_de_extracción_AFP;2;4;6;2;2;0;1
BPO-Error_de_extracción_días_LS;2;0;3;2;0;0;0
BPO-Extracción_glosas_no_imponibles;10;3;4;3;4;2;3
BPO-Extracción_imprecisa;6;4;3;2;1;0;0
Impl.BPO-Calculo_automatizado_días_trabajado;2;0;2;2;1;0;0
Impl.BPO-Extracción_segunda_página;3;1;2;2;0;0;0
LAB_Error_de_clasificación_replicado;0;2;2;0;2;1;1
LAB_Excepción_por_cargo;0;0;1;1;0;1;0
LAB_Falla_de_regla_Gratificaciones;0;0;0;0;1;0;0
LAB-Cambio_de_formato;0;0;2;0;0;1;0
LAB-Distancia_de_Levenshtein;1;0;0;0;0;0;0
LAB-Error_de_clasificación;10;0;3;2;1;3;0
LAB-Error_de_clasificación_indentificado;4;0;6;1;1;2;2
LAB-Excepción_por_empresa;1;0;0;0;0;0;0
Total_error;50;20;47;26;16;13;9
Total_de_los_Folios;387;235;330;244;98;156;76
