folio_recepcion,fecha_recepcion,estado_final_lm,count
2024001089,2024-05-02 08:31:00.000000,6,1
2024001092,2024-05-07 19:22:00.000000,4,1
2024001094,2024-05-08 18:08:00.000000,6,1
2024001101,2024-05-14 20:27:00.000000,6,1
2024001107,2024-05-23 09:09:00.000000,6,1
2024001111,2024-05-29 02:20:00.000000,6,1
2024003167,2024-05-08 16:02:00.000000,6,1
2024003168,2024-05-29 14:20:00.000000,4,1
2024003175,2024-05-10 15:28:00.000000,6,1
2024003176,2024-05-13 10:26:00.000000,6,1
2024003209,2024-05-23 00:06:00.000000,6,1
2024003217,2024-05-02 09:00:00.000000,6,1
2024003220,2024-05-02 11:08:00.000000,3,1
2024003221,2024-05-07 15:55:00.000000,6,1
2024003223,2024-05-09 07:50:00.000000,6,1
2024003225,2024-05-22 00:01:00.000000,6,1
2024003229,2024-05-28 22:35:00.000000,6,1
2024003242,2024-05-08 16:43:00.000000,6,1
2024003244,2024-05-08 13:31:00.000000,6,1
2024003245,2024-05-02 08:34:00.000000,6,1
2024003256,2024-05-24 00:01:00.000000,6,1
2024003285,2024-05-09 14:29:00.000000,6,1
2024003298,2024-05-13 14:33:00.000000,6,1
2024003341,2024-05-22 09:59:00.000000,4,1
2024003377,2024-05-10 09:22:00.000000,6,1
2024003387,2024-05-14 00:01:00.000000,6,1
2024003411,2024-05-15 18:01:00.000000,4,1
2024012122,2024-05-02 11:51:00.000000,6,1
2024012127,2024-05-09 05:43:00.000000,6,1
2024012133,2024-05-14 10:44:00.000000,6,1
2024012137,2024-05-17 09:40:00.000000,6,1
2024012141,2024-05-23 09:09:00.000000,6,1
2024012148,2024-05-24 12:48:00.000000,6,1
2024012156,2024-05-27 08:07:00.000000,6,1
2024012157,2024-05-27 07:44:00.000000,3,1
2024013075,2024-05-03 10:58:00.000000,6,1
2024013079,2024-05-08 11:50:00.000000,6,1
2024013081,2024-05-10 10:39:00.000000,6,1
2024013084,2024-05-10 13:02:00.000000,6,1
2024013089,2024-05-13 18:13:00.000000,6,1
2024013093,2024-05-17 08:25:00.000000,6,1
2024013099,2024-05-23 09:09:00.000000,6,1
2024013100,2024-05-23 10:56:00.000000,6,1
2024013104,2024-05-23 11:57:00.000000,6,1
2024013107,2024-05-29 17:48:00.000000,3,1
2024013109,2024-05-30 08:46:00.000000,6,1
